NameOfStation,Line,Year,IncomingPassengers,OutgoingPassengers,global_id
Авиамоторная,Большая кольцевая линия,2023,4081013,4213733,2581188729
Авиамоторная,Большая кольцевая линия,2024,3093565,3434417,2664615752
Авиамоторная,Калининская линия,2021,12933490,13555698,1139050925
Авиамоторная,Калининская линия,2022,14050604,14720309,2363422066
Авиамоторная,Калининская линия,2023,12463815,13086117,2581190217
Авиамоторная,Калининская линия,2024,8357823,8765459,2664619903
Авиамоторная,Некрасовская линия,2021,1905222,1904907,1146103236
Авиамоторная,Некрасовская линия,2022,2391878,2390575,2363398695
Автозаводская,Замоскворецкая линия,2021,11612440,12283317,1139049540
Автозаводская,Замоскворецкая линия,2022,13931500,14679342,2363398734
Автозаводская,Замоскворецкая линия,2023,15753530,16196945,2581188779
Автозаводская,Замоскворецкая линия,2024,9389735,9862632,2664615791
Автозаводская,Московское центральное кольцо,2021,1832539,2050112,1139050932
Автозаводская,Московское центральное кольцо,2022,2127170,2382922,2363429683
Автозаводская,Московское центральное кольцо,2023,2192821,2364270,2581190507
Автозаводская,Московское центральное кольцо,2024,1357950,1501555,2664648952
Академическая,Калужско-Рижская линия,2021,10453779,10496852,1138976238
Академическая,Калужско-Рижская линия,2022,11037910,11140785,2363398772
Академическая,Калужско-Рижская линия,2023,11640695,11736687,2581188818
Академическая,Калужско-Рижская линия,2024,8466917,8551209,2664615822
Александровский сад,Филёвская линия,2021,4811416,4847495,1139049618
Александровский сад,Филёвская линия,2022,5713947,5770249,2363398984
Александровский сад,Филёвская линия,2023,6222183,6303965,2581189028
Александровский сад,Филёвская линия,2024,4769692,4815986,2664615991
Алексеевская,Калужско-Рижская линия,2021,10357055,10680575,1138976223
Алексеевская,Калужско-Рижская линия,2022,10884787,11192049,2363398761
Алексеевская,Калужско-Рижская линия,2023,11074948,11327929,2581188807
Алексеевская,Калужско-Рижская линия,2024,8112690,8288601,2664615814
Алма-Атинская,Замоскворецкая линия,2021,4380655,4278364,1138976150
Алма-Атинская,Замоскворецкая линия,2022,4470584,4330464,2363398745
Алма-Атинская,Замоскворецкая линия,2023,4087199,3954788,2581188789
Алма-Атинская,Замоскворецкая линия,2024,3405997,3309963,2664615801
Алтуфьево,Серпуховско-Тимирязевская линия,2021,14692366,14383791,1138976325
Алтуфьево,Серпуховско-Тимирязевская линия,2022,15197973,14774335,2363398875
Алтуфьево,Серпуховско-Тимирязевская линия,2023,14803934,14361553,2581188920
Алтуфьево,Серпуховско-Тимирязевская линия,2024,9375159,9175498,2664615897
Аминьевская,Большая кольцевая линия,2021,169580,168823,1508957892
Аминьевская,Большая кольцевая линия,2022,3700368,3634285,2363398702
Аминьевская,Большая кольцевая линия,2023,6412453,6312589,2581188736
Аминьевская,Большая кольцевая линия,2024,6659838,6562620,2664615756
Андроновка,Московское центральное кольцо,2021,2704981,2765970,1138976466
Андроновка,Московское центральное кольцо,2022,2692975,2717607,2363398843
Андроновка,Московское центральное кольцо,2023,2640708,2652509,2581189590
Андроновка,Московское центральное кольцо,2024,2083553,2091259,2664615873
Аннино,Серпуховско-Тимирязевская линия,2021,7755888,7130747,1138976364
Аннино,Серпуховско-Тимирязевская линия,2022,8635813,7945197,2363398901
Аннино,Серпуховско-Тимирязевская линия,2023,9094852,8371768,2581188945
Аннино,Серпуховско-Тимирязевская линия,2024,6255976,5781720,2664615919
Арбатская,Арбатско-Покровская линия,2021,9251145,9660316,1139050927
Арбатская,Арбатско-Покровская линия,2022,8860702,9331873,2363419309
Арбатская,Арбатско-Покровская линия,2023,9264209,9740275,2581190032
Арбатская,Арбатско-Покровская линия,2024,7136301,7494257,2664619808
Арбатская,Филёвская линия,2021,1784613,1724253,1139049566
Арбатская,Филёвская линия,2022,1962643,1904671,2363398983
Арбатская,Филёвская линия,2023,2050874,1977976,2581189027
Арбатская,Филёвская линия,2024,1662898,1594691,2664615990
Аэропорт,Замоскворецкая линия,2021,11077603,11282531,1138976023
Аэропорт,Замоскворецкая линия,2022,11721549,11994169,2363398725
Аэропорт,Замоскворецкая линия,2023,11851728,12124175,2581188770
Аэропорт,Замоскворецкая линия,2024,8773933,8955708,2664615782
Аэропорт Внуково,Солнцевская линия,2023,974376,664080,2630091660
Аэропорт Внуково,Солнцевская линия,2024,2582670,1712587,2664616047
Бабушкинская,Калужско-Рижская линия,2021,15055626,15052522,1138976216
Бабушкинская,Калужско-Рижская линия,2022,16016871,15904777,2363398756
Бабушкинская,Калужско-Рижская линия,2023,16210073,16017501,2581188802
Бабушкинская,Калужско-Рижская линия,2024,12082250,11942986,2664615810
Багратионовская,Филёвская линия,2021,4687286,4703946,1138976138
Багратионовская,Филёвская линия,2022,5357050,5384305,2363398977
Багратионовская,Филёвская линия,2023,5293214,5304362,2581189019
Багратионовская,Филёвская линия,2024,4000751,4009248,2664615985
Балтийская,Московское центральное кольцо,2021,4190185,4472494,1138976507
Балтийская,Московское центральное кольцо,2022,3962590,4302996,2363398863
Балтийская,Московское центральное кольцо,2023,3868814,4204211,2581189609
Балтийская,Московское центральное кольцо,2024,2901995,3140308,2664615887
Баррикадная,Таганско-Краснопресненская линия,2021,6631637,6868910,1138976182
Баррикадная,Таганско-Краснопресненская линия,2022,7684162,7946939,2363398958
Баррикадная,Таганско-Краснопресненская линия,2023,8137541,8365235,2581189000
Баррикадная,Таганско-Краснопресненская линия,2024,6228333,6380584,2664615969
Бауманская,Арбатско-Покровская линия,2021,16362931,17118988,1138976010
Бауманская,Арбатско-Покровская линия,2022,18224011,19146625,2363398677
Бауманская,Арбатско-Покровская линия,2023,18526255,19381819,2581188712
Бауманская,Арбатско-Покровская линия,2024,13439493,14054615,2664615740
Беговая,Таганско-Краснопресненская линия,2021,13640505,13787116,1138976177
Беговая,Таганско-Краснопресненская линия,2022,13710047,13825366,2363398955
Беговая,Таганско-Краснопресненская линия,2023,11873059,11985180,2581188998
Беговая,Таганско-Краснопресненская линия,2024,8451918,8542295,2664615965
Белокаменная,Московское центральное кольцо,2021,338737,352012,1138976452
Белокаменная,Московское центральное кольцо,2022,456508,475723,2363398836
Белокаменная,Московское центральное кольцо,2023,545628,570412,2581189582
Белокаменная,Московское центральное кольцо,2024,423656,442858,2664615869
Беломорская,Замоскворецкая линия,2021,9386581,8940629,1138976018
Беломорская,Замоскворецкая линия,2022,9762071,9316657,2363398720
Беломорская,Замоскворецкая линия,2023,9790315,9311797,2581188764
Беломорская,Замоскворецкая линия,2024,7170125,6825243,2664615777
Белорусская,Замоскворецкая линия,2021,9190081,8802983,1139049538
Белорусская,Замоскворецкая линия,2022,8672026,8637293,2363398727
Белорусская,Замоскворецкая линия,2023,9356171,9000712,2581188772
Белорусская,Замоскворецкая линия,2024,7364465,7242840,2664615785
Белорусская,Кольцевая линия,2021,14126165,13599465,1139050942
Белорусская,Кольцевая линия,2022,15764250,14887542,2363424682
Белорусская,Кольцевая линия,2023,15487884,14832247,2581190258
Белорусская,Кольцевая линия,2024,12132431,11371795,2664620070
Беляево,Калужско-Рижская линия,2021,10859622,11149278,1138976245
Беляево,Калужско-Рижская линия,2022,12338158,12520069,2363398777
Беляево,Калужско-Рижская линия,2023,12803306,12982717,2581188823
Беляево,Калужско-Рижская линия,2024,9269232,9397321,2664615826
